Date,Academic_Year,Day_Type,Academic_Period,Week_Number,Semester,Is_Exam_Day,Exam_Type,Exam_Stress_Index,Is_Festival,Festival_Name,Festival_Category,Is_Long_Weekend,Expected_Occupancy_Percent,Cultural_Event,Special_Menu_Day,Institute_Notification_Sent,COVID_Restriction_Level
"January 01, 2021",2020-21,Weekday,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,Alumni Weekend,False,True,2
2021-01-02,2020-21,Weekend,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,,False,False,2
2021-01-03,2020-21,Weekend,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,,True,True,2
"January 04, 2021",2020-21,Weekday,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
05/01/2021,2020-21,Weekday,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
"January 06, 2021",2020-21,Weekday,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-07,2020-21,Weekday,Orientation,1,Even_Sem,False,,0,False,,,False,35.0,,False,False,2
2021-01-08,2020-21,Weekday,Orientation,2,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-09,2020-21,Weekend,Orientation,2,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-10,2020-21,Weekend,Orientation,2,Even_Sem,False,,0,False,,,False,35.0,,True,True,2
2021-01-11,2020-21,Weekday,Regular,2,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-12,2020-21,Weekday,Regular,2,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
13/01/2021,2020-21,Weekday,Regular,2,Even_Sem,False,,0,True,Pongal,Regional,False,35.0,,True,True,2
2021-01-14,2020-21,Weekday,Regular,2,Even_Sem,False,,0,True,Pongal,Regional,False,35.0,,True,True,2
2021-01-15,2020-21,Weekday,Regular,3,Even_Sem,False,,0,True,Pongal,Regional,False,35.0,,True,True,2
2021-01-16,2020-21,Weekend,Regular,3,Even_Sem,False,,0,False,,,True,35.0,,False,True,2
"January 17, 2021",2020-21,Weekend,Regular,3,Even_Sem,False,,0,False,,,False,35.0,,True,True,2
"January 18, 2021",2020-21,Weekday,Regular,3,Even_Sem,False,,0,False,,,False,35.0,,False,False,2
2021-01-19,2020-21,Weekday,Regular,3,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-20,2020-21,Weekday,Regular,3,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-21,2020-21,Weekday,Regular,3,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
"January 22, 2021",2020-21,Weekday,Regular,4,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
23/01/2021,2020-21,Weekend,Regular,4,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-24,2020-21,weekend,Regular,4,Even_Sem,False,,0,False,,,False,35.0,,True,True,2
2021-01-25,2020-21,Weekday,Regular,4,Even_Sem,False,,0,True,Republic Day,National,False,35.0,,True,True,2
26/01/2021,2020-21,Weekday,Regular,4,Even_Sem,False,,0,True,Republic Day,National,False,35.0,,True,False,2
"January 27, 2021",2020-21,Weekday,Regular,4,Even_Sem,False,,0,True,Republic Day,National,False,35.0,,True,False,2
"January 28, 2021",2020-21,Weekday,Regular,4,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-29,2020-21,Weekday,Regular,5,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-30,2020-21,weekend,Regular,5,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
2021-01-31,2020-21,Weekend,Regular,5,Even_Sem,False,,0,False,,,False,35.0,,True,True,2
2021-02-01,2020-21,Weekday,Regular,5,Even_Sem,False,,0,False,,,False,35.0,,False,False,2
2021-02-02,2020-21,Weekday,Regular,5,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
"February 03, 2021",2020-21,Weekday,Regular,5,Even_Sem,False,,0,False,,,False,35.0,,False,True,2
